,protein_name,compound_name,pocket_name,pocket_com,affinity
0,6hd6,6hd6_STI_rdkit,protein_center,"15.746,23.565,54.818",8.018212
1,6hd6,6hd6_STI_rdkit,pocket_1,"20.691,16.697,56.311",7.862878
2,6hd6,6hd6_STI_rdkit,pocket_2,"20.243,41.418,52.346",5.587339
3,6hd6,6hd6_STI_rdkit,pocket_3,"10.161,15.802,61.654",7.664382
4,6hd6,6hd6_STI_rdkit,pocket_4,"14.8,30.117,65.358",4.5967035
5,6hd6,6hd6_STI_rdkit,pocket_5,"18.961,28.224,40.251",2.3402474
6,6hd6,6hd6_STI_rdkit,pocket_6,"32.53,30.08,55.506",6.4694276
7,6hd6,6hd6_STI_rdkit,pocket_7,"-1.333,28.528,67.874",3.2241457
8,6hd6,6hd6_STI_rdkit,pocket_8,"14.41,1.211,50.949",5.360975
9,6hd6,6hd6_FYH_rdkit,protein_center,"15.746,23.565,54.818",6.2533083
10,6hd6,6hd6_FYH_rdkit,pocket_1,"20.691,16.697,56.311",6.158773
11,6hd6,6hd6_FYH_rdkit,pocket_2,"20.243,41.418,52.346",6.757601
12,6hd6,6hd6_FYH_rdkit,pocket_3,"10.161,15.802,61.654",5.8241873
13,6hd6,6hd6_FYH_rdkit,pocket_4,"14.8,30.117,65.358",3.4801314
14,6hd6,6hd6_FYH_rdkit,pocket_5,"18.961,28.224,40.251",2.3381996
15,6hd6,6hd6_FYH_rdkit,pocket_6,"32.53,30.08,55.506",3.026802
16,6hd6,6hd6_FYH_rdkit,pocket_7,"-1.333,28.528,67.874",2.5952299
17,6hd6,6hd6_FYH_rdkit,pocket_8,"14.41,1.211,50.949",4.2195687
